datetime,open,high,low,close,volume
2023-01-03 00:00:00,163.0,164.36,162.33,163.52,638614
2023-01-04 00:00:00,163.48,163.48,162.06,162.51,667717
2023-01-05 00:00:00,162.5,162.85,160.71,161.2,760599
2023-01-06 00:00:00,161.2,162.59,161.1,162.1,524716
2023-01-09 00:00:00,162.99,163.49,161.88,162.71,974705
2023-01-10 00:00:00,162.71,162.98,161.44,162.1,734843
2023-01-11 00:00:00,162.05,167.19,161.7,165.83,2524710
2023-01-12 00:00:00,165.71,165.79,163.75,164.17,1137461
2023-01-13 00:00:00,164.3,165.73,163.5,164.56,1225119
2023-01-16 00:00:00,165.1,166.8,164.9,165.8,1468458
2023-01-17 00:00:00,165.8,165.92,162.0,162.33,1807126
2023-01-18 00:00:00,162.52,163.96,160.81,162.18,1447441
2023-01-19 00:00:00,161.99,162.49,160.01,160.53,1563785
2023-01-20 00:00:00,160.56,161.45,158.55,158.85,1652336
2023-01-23 00:00:00,158.85,160.49,158.2,160.06,1509445
2023-01-24 00:00:00,160.3,160.83,157.44,157.88,1662043
2023-01-25 00:00:00,157.9,159.13,156.71,158.99,1557064
2023-01-26 00:00:00,159.12,159.43,157.13,157.58,1238310
2023-01-27 00:00:00,157.58,159.33,156.91,159.08,1229034
2023-01-30 00:00:00,159.08,159.67,157.7,158.41,1073752
2023-01-31 00:00:00,158.41,160.0,158.0,158.1,1512905
2023-02-01 00:00:00,158.3,158.66,157.54,158.12,1424034
2023-02-02 00:00:00,158.44,158.59,157.31,158.1,1199130
2023-02-03 00:00:00,158.09,163.96,156.76,160.87,6953647
2023-02-06 00:00:00,160.68,161.76,158.91,160.14,2814107
2023-02-07 00:00:00,160.5,161.35,159.51,159.87,1395333
2023-02-08 00:00:00,160.01,160.42,157.82,158.18,1667937
2023-02-09 00:00:00,158.5,160.44,157.6,159.19,2765565
2023-02-10 00:00:00,159.07,159.46,158.32,158.68,987370
2023-02-13 00:00:00,159.47,159.47,158.0,158.01,1141780
2023-02-14 00:00:00,157.9,158.1,155.13,156.52,1861244
2023-02-15 00:00:00,156.05,156.07,150.6,153.09,2754942
2023-02-16 00:00:00,154.01,154.5,151.62,153.56,1732186
2023-02-17 00:00:00,153.4,155.08,152.83,153.62,1326150
2023-02-20 00:00:00,153.62,154.3,151.62,153.24,1531343
2023-02-21 00:00:00,153.61,156.43,153.61,154.97,2139171
2023-02-22 00:00:00,154.89,156.4,153.5,155.31,1165199
2023-02-24 00:00:00,155.53,156.98,153.72,154.22,997769
2023-02-27 00:00:00,153.9,157.3,153.5,156.34,1712827
2023-02-28 00:00:00,156.49,158.09,155.56,157.66,1843036
2023-03-01 00:00:00,158.0,164.56,157.99,164.5,6771279
2023-03-02 00:00:00,164.18,164.34,159.5,160.9,5316697
2023-03-03 00:00:00,161.2,163.3,160.9,162.27,2131889
2023-03-06 00:00:00,163.2,164.3,162.52,163.35,1947482
2023-03-07 00:00:00,163.8,163.85,162.0,162.57,1385412
2023-03-09 00:00:00,162.21,163.18,161.12,161.21,1394955
2023-03-10 00:00:00,160.5,161.29,159.51,160.04,1724013
2023-03-13 00:00:00,160.35,161.62,158.3,159.03,2024112
2023-03-14 00:00:00,158.89,161.4,158.55,161.0,1749218
2023-03-15 00:00:00,161.69,162.48,158.05,159.68,2494979
2023-03-16 00:00:00,159.85,160.83,158.5,159.71,2091609
2023-03-17 00:00:00,160.19,164.41,159.85,163.29,4174941
2023-03-20 00:00:00,164.4,176.86,164.14,175.7,12806243
2023-03-21 00:00:00,176.0,177.25,168.66,170.55,10746577
2023-03-22 00:00:00,170.0,171.38,167.7,168.72,3893709
2023-03-23 00:00:00,168.72,169.71,167.82,168.84,1875555
2023-03-24 00:00:00,169.23,169.49,168.01,169.03,1477548
2023-03-27 00:00:00,170.2,173.25,169.74,172.33,3603128
2023-03-28 00:00:00,172.94,172.94,169.1,171.07,2704982
2023-03-29 00:00:00,171.58,172.5,169.41,170.95,2244739
2023-03-30 00:00:00,170.78,171.8,170.02,171.71,1471291
2023-03-31 00:00:00,172.0,172.71,168.14,169.83,3137560
