datetime,open,high,low,close,volume
2023-01-03 00:00:00,113.0,115.2,112.7,114.36,651413
2023-01-04 00:00:00,114.58,114.62,111.82,112.34,417545
2023-01-05 00:00:00,112.3,112.66,110.88,112.06,230706
2023-01-06 00:00:00,112.28,112.5,111.18,111.34,190013
2023-01-09 00:00:00,111.9,112.38,109.78,110.4,463748
2023-01-10 00:00:00,109.9,110.18,108.64,109.22,361888
2023-01-11 00:00:00,109.0,112.28,109.0,112.1,346659
2023-01-12 00:00:00,112.16,112.4,110.22,111.5,232315
2023-01-13 00:00:00,111.5,112.3,110.7,112.16,200421
2023-01-16 00:00:00,112.2,114.48,112.2,114.3,436087
2023-01-17 00:00:00,114.38,114.52,111.0,111.38,475206
2023-01-18 00:00:00,111.3,113.3,110.84,111.54,325621
2023-01-19 00:00:00,111.5,112.46,110.58,111.5,279007
2023-01-20 00:00:00,111.8,112.28,110.88,111.98,182405
2023-01-23 00:00:00,112.3,112.46,111.28,112.02,159934
2023-01-24 00:00:00,111.82,112.8,111.08,111.26,177197
2023-01-25 00:00:00,111.26,112.1,110.72,111.64,169554
2023-01-26 00:00:00,111.76,113.16,111.24,112.36,187268
2023-01-27 00:00:00,112.38,113.98,112.22,113.76,228601
2023-01-30 00:00:00,113.76,115.38,113.76,115.16,301226
2023-01-31 00:00:00,115.4,116.98,114.8,116.8,291645
2023-02-01 00:00:00,117.0,120.0,116.5,118.96,521220
2023-02-02 00:00:00,119.8,120.88,118.0,120.22,555733
2023-02-03 00:00:00,120.22,120.68,118.1,120.28,415835
2023-02-06 00:00:00,120.4,123.68,119.82,123.44,509462
2023-02-07 00:00:00,123.22,123.9,120.8,121.84,342070
2023-02-08 00:00:00,121.9,122.42,119.1,119.3,349435
2023-02-09 00:00:00,119.3,123.24,118.34,122.5,459290
2023-02-10 00:00:00,122.04,125.7,121.72,125.0,714803
2023-02-13 00:00:00,125.04,127.48,125.02,126.7,423245
2023-02-14 00:00:00,126.26,126.66,122.76,122.94,419466
2023-02-15 00:00:00,122.5,122.58,115.2,117.6,667277
2023-02-16 00:00:00,118.4,120.34,115.46,118.0,549059
2023-02-17 00:00:00,116.88,118.6,115.74,117.44,432956
2023-02-20 00:00:00,117.22,118.34,114.4,117.86,383873
2023-02-21 00:00:00,117.88,122.0,117.72,121.78,602939
2023-02-22 00:00:00,122.02,122.38,119.56,120.94,404686
2023-02-24 00:00:00,121.32,122.44,118.9,120.0,307577
2023-02-27 00:00:00,119.88,124.64,117.84,124.06,599993
2023-02-28 00:00:00,124.2,126.0,123.8,125.2,540083
2023-03-01 00:00:00,125.98,128.52,125.14,127.98,569386
2023-03-02 00:00:00,127.9,128.9,124.32,126.14,660522
2023-03-03 00:00:00,126.2,128.54,125.3,128.32,293603
2023-03-06 00:00:00,128.5,129.1,126.6,126.96,500976
2023-03-07 00:00:00,126.9,127.4,125.7,126.38,337942
2023-03-09 00:00:00,126.4,127.22,125.22,126.46,262511
2023-03-10 00:00:00,125.9,127.2,125.4,126.64,266054
2023-03-13 00:00:00,127.0,127.2,124.02,124.92,449637
2023-03-14 00:00:00,125.0,126.26,124.02,125.7,271768
2023-03-15 00:00:00,125.94,126.42,122.5,123.82,334075
2023-03-16 00:00:00,123.8,124.32,120.8,124.14,341820
2023-03-17 00:00:00,125.02,125.96,124.32,125.1,398553
2023-03-20 00:00:00,125.4,128.0,124.42,127.58,577223
2023-03-21 00:00:00,128.24,128.58,125.12,126.08,345418
2023-03-22 00:00:00,125.98,126.32,125.0,125.1,148741
2023-03-23 00:00:00,125.0,126.54,123.92,126.2,287775
2023-03-24 00:00:00,126.2,126.5,125.4,126.5,125808
2023-03-27 00:00:00,127.0,128.42,126.86,128.18,280666
2023-03-28 00:00:00,128.58,128.94,126.56,127.54,227284
2023-03-29 00:00:00,128.0,134.44,127.1,131.84,1036896
2023-03-30 00:00:00,132.3,133.44,129.8,130.6,484816
2023-03-31 00:00:00,130.6,130.6,128.34,130.44,521296
2023-04-03 00:00:00,130.44,133.9,130.42,133.04,419246
2023-04-04 00:00:00,133.3,133.8,131.22,132.44,324540
2023-04-05 00:00:00,131.7,133.5,130.52,133.02,231426
2023-04-06 00:00:00,133.06,135.46,130.22,131.34,1535715
2023-04-07 00:00:00,131.08,131.7,128.0,131.38,923556
2023-04-10 00:00:00,132.24,132.4,130.0,131.66,539334
2023-04-11 00:00:00,131.86,132.0,128.3,129.78,679540
2023-04-12 00:00:00,130.06,130.84,128.4,130.48,383351
2023-04-13 00:00:00,130.82,131.2,129.2,130.32,231939
2023-04-14 00:00:00,130.2,131.5,129.62,131.34,251070
2023-04-17 00:00:00,131.98,132.9,131.2,132.6,329965
2023-04-18 00:00:00,132.5,138.0,131.74,137.44,857752
2023-04-19 00:00:00,137.7,142.3,135.34,138.5,1163112
2023-04-20 00:00:00,138.1,141.82,135.6,140.16,528287
2023-04-21 00:00:00,140.46,140.88,138.04,139.92,294340
2023-04-24 00:00:00,139.9,140.3,138.16,139.2,211499
2023-04-25 00:00:00,139.02,139.38,137.7,138.22,167545
2023-04-26 00:00:00,137.94,138.86,136.0,136.5,206335
2023-04-27 00:00:00,135.6,139.32,135.6,139.28,250288
2023-04-28 00:00:00,139.42,139.5,136.36,137.28,287513
2023-05-02 00:00:00,136.7,138.0,132.5,133.34,495667
2023-05-03 00:00:00,133.34,135.5,128.34,129.8,735721
2023-05-04 00:00:00,129.8,131.76,126.72,129.46,575098
2023-05-05 00:00:00,129.46,129.96,126.7,127.34,401023
2023-05-08 00:00:00,127.82,128.08,125.88,127.22,141010
2023-05-10 00:00:00,127.22,130.66,127.22,130.38,280938
2023-05-11 00:00:00,130.84,132.3,127.3,128.76,517749
2023-05-12 00:00:00,128.8,131.2,127.3,129.64,416182
2023-05-15 00:00:00,130.8,134.0,130.14,133.16,429427
2023-05-16 00:00:00,133.52,134.4,132.12,132.86,272849
2023-05-17 00:00:00,132.8,133.74,131.3,133.64,219422
2023-05-18 00:00:00,133.64,135.68,133.24,134.78,449360
2023-05-19 00:00:00,134.42,135.46,133.42,134.58,275629
2023-05-22 00:00:00,136.0,136.82,132.7,133.04,296018
2023-05-23 00:00:00,133.0,136.4,132.2,134.84,410301
2023-05-24 00:00:00,135.38,135.4,132.42,134.68,462531
2023-05-25 00:00:00,134.82,139.3,134.14,137.86,666035
2023-05-26 00:00:00,138.34,139.84,137.38,139.36,375866
2023-05-29 00:00:00,141.0,142.8,138.66,141.72,1327003
2023-05-30 00:00:00,141.24,146.7,140.16,143.6,1071888
2023-05-31 00:00:00,143.62,147.72,143.62,147.16,489245
2023-06-01 00:00:00,146.68,149.6,146.68,147.88,579440
2023-06-02 00:00:00,148.62,152.0,146.5,151.54,692035
2023-06-05 00:00:00,153.0,153.42,148.08,148.84,477393
2023-06-06 00:00:00,148.02,148.72,146.22,148.08,307764
2023-06-07 00:00:00,148.2,151.72,147.74,149.78,304321
2023-06-08 00:00:00,149.5,151.7,148.56,150.98,272732
2023-06-09 00:00:00,151.28,153.6,151.18,152.46,294198
2023-06-13 00:00:00,153.0,159.78,152.6,159.58,414295
2023-06-14 00:00:00,159.52,161.26,156.52,157.98,486389
2023-06-15 00:00:00,158.54,166.5,157.0,166.22,980674
2023-06-16 00:00:00,166.3,166.32,163.0,164.5,497164
2023-06-19 00:00:00,164.82,172.98,162.12,172.3,1082053
2023-06-20 00:00:00,172.3,175.0,169.24,173.8,886166
2023-06-21 00:00:00,173.72,178.0,170.92,175.26,1062091
2023-06-22 00:00:00,175.0,177.5,171.5,171.9,714344
2023-06-23 00:00:00,171.34,175.44,167.06,171.36,1552616
2023-06-26 00:00:00,172.8,174.7,164.24,167.24,1128887
2023-06-27 00:00:00,166.5,174.2,165.04,172.4,1067018
2023-06-28 00:00:00,172.92,174.6,168.2,170.14,632770
2023-06-29 00:00:00,170.6,170.8,165.7,169.22,372328
